userAddress,genesisCount,nftId
0x0046ee1eb8d55895,1,26802
0x01be23022fa2c4ad,1,29891
0x01edb27d6d8edd22,1,19084
0x02a465111c451325,1,26847
0x08f1bb89d731bc64,6,"14810,15009,17334,17679,17859,18480"
0x08ffdba107c11927,1,26728
0x09a3719c33aff22e,2,"16999,23563"
0x0a494d8679df0922,1,25762
0x0a51599d927e7a9a,2,"19236,30334"
0x0a844126a112f9b8,2,"20743,29859"
0x0b8624faa14d74db,1,18360
0x0bc18be5c86cf9f1,1,26622
0x0cfa88882df848d0,1,18013
0x0d6a5cc15c6d62e6,1,23069
0x0df85d6f2920d098,1,15192
0x0ef8f4f1534ba5ba,1,25771
0x0f46951ccd0bd0b3,1,26469
0x0f6229820667d26c,1,25492
0x0fd758d0abce1ce4,1,26870
0x0270443f129b2d24,1,19865
0x0fdf856a79befdfb,2,"28383,28387"
0x1035c0cba37750a3,1,15174
0x104af06fb7166c1e,2,"20639,24286"
0x1279eabff5f7634f,1,26589
0x1327ffcaf9d141ad,1,28319
0x13ab6b5848e663a8,1,25784
0x13fe5c46d6654f4c,2,"16924,17259"
0x1436b76cf02a9493,1,26771
0x156c0d3a37ebf687,1,25803
0x15df322fc0298941,1,26845
0x173062617166e578,1,17641
0x17c45f6d45d20d2f,1,16637
0x17db00eebf89029f,1,26843
0x192a9d409c2acfca,1,27712
0x1a45688dc636b50c,1,18860
0x0c47d17b7a35ecf2,2,"20722,22112"
0x1aa49445db93cc88,1,23328
0x1b6665964ab276c1,1,21992
0x1bae954947255f07,1,24611
0x1ceeb866cf460121,1,27368
0x1d5fa911c327a8f8,1,29057
0x1f9e1b79251f9e8f,1,15252
0x0eb6a4320b87059b,1,25775
0x20e7749e45d2af59,1,18280
0x218ab0a5b106cad4,2,"22175,22917"
0x21be46740bfeab9d,3,"24180,28210,29812"
0x22c0428cb80faf42,1,28522
0x2336f27a0a204e53,1,19661
0x242b453585660e57,2,"18133,19018"
0x24eceda9d345b996,1,25731
0x2674da46a64013e4,1,15108
0x26c64314672b7e3d,1,18125
0x26e8c354efbb6c45,1,26867
0x270f56fb449e070d,1,16178
0x27acb3ecf332201e,3,"16265,16420,16494"
0x282fd902d6960aa2,1,26841
0x28382ccf7362cf14,1,26679
0x290c85aac9376543,1,24510
0x2921506b72b30f73,2,"26873,29371"
0x297368cc3cd7909c,1,26861
0x297577c7aee15a04,1,25829
0x29a1779e78cc1bf0,1,25827
0x29e360df05aa8085,1,16502
0x2a2029475e2012ca,1,29105
0x16a92b92eef9aa73,1,25796
0x2a7cb998730d822b,1,25830
0x2a8175d6a13b8295,1,26871
0x2bae4724bf2bc56a,1,26874
0x2c02daffc8c106c2,2,"15976,17664"
0x2c3d900f42ee35fc,1,18083
0x2c622b0bc06ecb6e,2,"30604,30612"
0x2d23c39bfdddbf02,1,24743
0x2d2422cadb01f68b,1,29903
0x1a79085855426e26,1,14332
0x2f02f1714c1904b6,2,"23882,25419"
0x2f9e1c79c078a13f,1,16704
0x3000a256e8a09e4e,1,26575
0x30c3cf20566b4df0,1,14791
0x30d4cef73605526e,3,"20327,20373,20429"
0x31c6c0ecc4451494,1,29449
0x333dd7575fcfd509,3,"17377,17865,18026"
0x3452be19b672c37e,1,25178
0x34d8fb1e5635ff09,1,22617
0x3526c61f13b9d54c,2,"18344,30144"
0x35f5706a00920fba,1,25850
0x3644ef5cc10ba739,1,26846
0x36609ca27fd7f76b,1,23317
0x376705fef1aa74ae,1,16727
0x37ab10427ad0c085,1,29901
0x37fc799c4bb99c8d,1,25856
0x38469d7abc022fa8,1,25859
0x38bb200e93147aa8,1,15424
0x3a7a2af28d43354b,1,26287
0x3be7943f5b78abb8,1,20216
0x3bfff62e8bf0757e,1,24568
0x3c39d8852bf07de6,2,"22327,22342"
0x3ce6bef0b1fa883d,1,27156
0x3d9c4ff9af8beef4,1,28480
0x025cbac9009c61d8,1,25743
0x3fe527b9e16b35a1,1,19955
0x286762d0d9f6ba33,1,29898
0x4080c8a331d30b1f,1,25873
0x41dc8c89a8fecd6e,1,18789
0x4391cf25e61f69ea,1,25881
0x445533c0c029a32a,1,18967
0x449abd9ce0796c59,1,26521
0x456ffa72f1f47bc4,1,28279
0x4603526e3f6cc20f,1,26479
0x462ac76554ba43d6,1,29906
0x46ff9b00fdb3d80d,1,24825
0x475decd3e9e284f1,1,28245
0x2a706967a1547afc,1,29957
0x487c7d06ee54352f,1,18323
0x49fef91edbda149a,1,14707
0x4aed17ac3a0a3c92,1,21262
0x4b9f50d7388ace50,1,18696
0x4bff7b2e4cd5e5a4,1,14832
0x4ccee134bc023226,1,22839
0x4d43a57244520d92,1,24215
0x4d850930b46e2688,3,"13733,20548,29823"
0x4ddf0da5bfd8e17f,1,26859
0x4eca76a3ce651806,2,"26862,27345"
0x4f0210999d68010e,2,"24739,25904"
0x4f31fd6248c1e1fe,1,20360
0x4f48c93e10b966ec,1,15576
0x4f5f6b8e569771d1,1,19308
0x514867d82235f171,1,13728
0x515b082d701bee8c,1,17282
0x51f3706c2f93e41d,2,"19342,19434"
0x5218485798845430,1,26660
0x52f91707f819f2ed,1,17779
0x535eaf812ea844ad,1,15788
0x53796977d94c842d,1,20973
0x53b5892f215a6c49,1,14250
0x5475ab2c6ad3643b,1,29913
0x54c680aa22a7294f,1,26409
0x54d63e00cdd1470b,1,25082
0x57edd6e54d436678,1,18247
0x5909574da670f39c,1,31088
0x599f2d53b34522ae,1,20123
0x59d6935ef7b45f79,1,16161
0x5a73f5c794785d6d,1,14171
0x5b1845c067635096,2,"15881,26866"
0x5b2e54446790693a,1,16471
0x5b3139133c87d30d,2,"29045,29570"
0x404f0d41ea7f9f10,1,21325
0x3877fa2d36a64bf4,1,17003
0x5c616a964fbbf267,1,15801
0x5d50d6ab4bfe54d4,1,15084
0x5e6ce49a06e26371,1,17298
0x5fa030be30d8351f,1,24721
0x61624125534a59ad,2,"25932,26298"
0x618910808a1f8daa,1,23151
0x61ac179b82724500,1,14131
0x61d28f192cad79ba,1,24413
0x623aba417195f72b,1,25934
0x625ab70040488c10,1,26594
0x628a68414d2c8931,1,27890
0x6329c9ee7f7ac3f1,1,18781
0x64cbec2f8de0f3a7,1,21176
0x658d726c3a04da3b,3,"28421,28589,28727"
0x66342a121a4cb30d,1,25941
0x664fa7c80a838353,1,25949
0x66a3f92b584933a5,1,23628
0x693cf20f7a231bf5,1,14016
0x6bab17e30db1e393,2,"22037,25951"
0x6bd65e3e1e36ae90,2,"20595,20618"
0x6d3af397a507ca8a,1,26853
0x300dd4115728a37c,3,"16222,26893,27822"
0x6e434772f877fc0a,1,18963
0x6ecc8fcf6b329b65,1,15380
0x6f0907504aa5e8a3,1,31094
0x6f5598ef06113bc7,1,14595
0x6f5eb2b22cbbfbae,1,15512
0x7007b8c24a66fae9,1,25963
0x70bddca337788fbd,1,19585
0x72df84bc0775dd5c,3,"29779,29785,29790"
0x744f42511726efab,4,"13921,14093,16283,16578"
0x7475c7f45fe93629,2,"25969,27581"
0x74e2fa25ebd74c03,1,24586
0x74fa3a52f091cbfb,1,15664
0x7588a844ef789ce4,1,28253
0x78862f8d139f2b34,1,29804
0x78c7f361e000e152,1,25165
0x79478ade5c24b8a8,1,26338
0x79e21dc4c7c05e90,1,24059
0x7c274df994eb8ee4,1,17783
0x7c5965bf65cb708f,2,"29464,29511"
0x7d3ef15d81135f8b,2,"17007,26376"
0x7d812aad753b13ba,2,"20517,20755"
